,production_companies
338,"                    name    id
0  Imagine Entertainment    23
1    Touchstone Pictures  9195"
339,"                      name  id
0     Walt Disney Pictures   2
1  Pixar Animation Studios   3"
340,"                        name     id
0           Le Studio Canal+    183
1  Laurence Mark Productions    415
2  Metro-Goldwyn-Mayer (MGM)   8411
3           Carolco Pictures  14723"
341,"                        name     id
0    Ingenious Film Partners    289
1              1492 Pictures    436
2         Dune Entertainment    444
3          Fox 2000 Pictures    711
4     Sunswept Entertainment   5219
5     Dune Entertainment III   6332
6     Big Screen Productions  10893
7  TCF Vancouver Productions  28431"
342,"                            name     id
0           Amblin Entertainment     56
1  Columbia Pictures Corporation    441
2  Parkes+MacDonald Image Nation  49325"
343,"                      name  id
0  Pixar Animation Studios   3"
344,"                                     name     id
0  Twentieth Century Fox Film Corporation    306
1                  Scott Free Productions   1645
2                              Firm Films   1838
3                           Prospect Park  19776
4              Millbrook Farm Productions  19777"
345,"              name  id
0  New Line Cinema  12"
346,"                                     name     id
0                          DreamWorks SKG     27
1  Twentieth Century Fox Film Corporation    306
2                             ImageMovers  11395"
347,"                      name    id
0        Columbia Pictures     5
1  Sony Pictures Animation  2251"
348,"                              name     id
0                 Blue Sky Studios   9383
1  Twentieth Century Fox Animation  11749"
349,"                                     name     id
0                         New Line Cinema     12
1                         Ingenious Media    290
2  Twentieth Century Fox Film Corporation    306
3                    Samuel Goldwyn Films   9118
4                  Big Screen Productions  10893
5                          Red Hour Films  12178
6                       TSG Entertainment  22213
7                        Down Productions  37336"
350,"                name  id
0  Columbia Pictures   5"
351,"                                name     id
0              Vertigo Entertainment    829
1                   Media Asia Films   5552
2                       Warner Bros.   6194
3  Initial Entertainment Group (IEG)   7380
4               Plan B Entertainment  45778"
352,"                            name     id
0           Walt Disney Pictures      2
1  Walt Disney Feature Animation  10217"
353,"                                                name     id
0                                     DreamWorks SKG     27
1                                 Goldcrest Pictures  11843
2                                     Red Hour Films  12178
3  Internationale Filmproduktion Stella-del-Sud S...  12379"
354,"                        name     id
0          Columbia Pictures      5
1    Scott Rudin Productions    258
2                 Film Rites   8083
3  Metro-Goldwyn-Mayer (MGM)   8411
4                Yellow Bird  33817
5             Ground Control  47479"
355,"                                     name    id
0  Twentieth Century Fox Film Corporation   306
1          Cinergi Pictures Entertainment  1504"
356,"                                             name     id
0                       Village Roadshow Pictures     79
1                                 Silver Pictures   1885
2                                    Warner Bros.   6194
3  Internationale Filmproduktion Blackbird Dritte  19855
4                              Wigram Productions  23202"
357,"                        name     id
0         Paramount Pictures      4
1  Metro-Goldwyn-Mayer (MGM)   8411
2        Sean Daniel Company  19857
3         LightWorkers Media  23920"
358,"                            name     id
0           Walt Disney Pictures      2
1  Walt Disney Feature Animation  10217"
359,"                      name     id
0      Regency Enterprises    508
1        Fox 2000 Pictures    711
2   Sunswept Entertainment   5219
3  Bagdasarian Productions  10930
4        TSG Entertainment  22213"
360,"                        name    id
0             United Artists    60
1      Achte Babelsberg Film  6100
2  Metro-Goldwyn-Mayer (MGM)  8411
3  Bad Hat Harry Productions  9168"
361,"                        name    id
0          Columbia Pictures     5
1  Happy Madison Productions  2608
2    Sony Pictures Releasing  3045
3           Relativity Media  7295"
362,"                        name    id
0          Columbia Pictures     5
1  Happy Madison Productions  2608"
363,"                          name    id
0               DreamWorks SKG    27
1         Amblin Entertainment    56
2  Stanley Kubrick Productions   385
3                 Warner Bros.  6194"
364,"                     name     id
0    Walt Disney Pictures      2
1              Gunn Films   3538
2  Doom Buggy Productions  47122"
365,"                           name     id
0                  Warner Bros.   6194
1  South Side Amusement Company  43910"
366,"                                                name    id
0                      Columbia Pictures Corporation   441
1  Global Entertainment Productions GmbH & Compan...  9269"
367,"                              name     id
0               Universal Pictures     33
1                      StudioCanal    694
2               Mirage Enterprises    932
3              Working Title Films  10163
4                     Misher Films  11581
5  Motion Picture JOTA Produktions  20194"
368,"                     name     id
0           1492 Pictures    436
1      Dune Entertainment    444
2       Fox 2000 Pictures    711
3  Sunswept Entertainment   5219
4  Dune Entertainment III   6332
5       TSG Entertainment  22213"
369,"                                     name     id
0                      Paramount Pictures      4
1                               Toho-Towa    657
2                     Mutual Film Company    762
3             Lawrence Gordon Productions    840
4  British Broadcasting Corporation (BBC)   3324
5                        October Pictures  14362
6                       Eidos Interactive  19105"
370,"                   name     id
0  Summit Entertainment    491
1             Lionsgate   1632
2    K/O Paper Products   7296
3             TIK Films  72441"
371,"                       name     id
0        Paramount Pictures      4
1  Mace Neufeld Productions   2767
2      Rysher Entertainment  11661"
372,"                               name    id
0                Universal Pictures    33
1           Metropolitan Filmexport   656
2                         Toho-Towa   657
3             Red Wagon Productions   780
4             Beacon Communications   919
5  Kalima Productions GmbH & Co. KG  7385"
373,"                      name     id
0   Spyglass Entertainment    158
1     The Jacobson Company   3638
2      Touchstone Pictures   9195
3  Red Horizon Productions  22103"
374,"                              name     id
0                 Blue Sky Studios   9383
1  Twentieth Century Fox Animation  11749"
375,"                            name     id
0      Laurence Mark Productions    415
1                  1492 Pictures    436
2  Columbia Pictures Corporation    441
3            Touchstone Pictures   9195
4            Radiant Productions  18990"
376,"                                     name   id
0  Twentieth Century Fox Film Corporation  306"
377,"                name  id
0  Columbia Pictures   5"
378,"                          name     id
0           Paramount Pictures      4
1             Intermedia Films    763
2  National Geographic Society   2471
3         New Regency Pictures  10104
4        Palomar Pictures (II)  11371
5       First Light Production  20344"
379,"                         name     id
0          Universal Pictures     33
1  Dino De Laurentiis Company  10308"
380,"                    name    id
0          Miramax Films    14
1  Imagine Entertainment    23
2     Universal Pictures    33
3   Parkway Pictures (I)   631
4    Touchstone Pictures  9195"
381,"                    name     id
0        Vnesheconombank  24013
1    Nutcracker Holdings  24014
2        HCC Media Group  24015
3  Russian Roulette Ltd.  24016"
382,"                           name    id
0            Universal Pictures    33
1        Spyglass Entertainment   158
2  The Kennedy/Marshall Company   862
3           DreamWorks Pictures  7293
4           Touchstone Pictures  9195"
383,"                     name     id
0      Universal Pictures     33
1    Amblin Entertainment     56
2            Warner Bros.   6194
3  Constant c Productions  23370"
384,"                                     name     id
0                          DreamWorks SKG     27
1  Twentieth Century Fox Film Corporation    306
2                                Playtone   4171
3                             ImageMovers  11395"
385,"                         name    id
0  Kennedy Miller Productions  2537
1                Animal Logic  8089"
386,"                                           name     id
0                            Universal Pictures     33
1                  The Kennedy/Marshall Company    862
2                                      Hypnotic   7384
3  Motion Picture THETA Produktionsgesellschaft  11346
4                          Ludlum Entertainment  11347"
387,"                            name     id
0  Columbia Pictures Corporation    441
1          Beacon Communications    919
2            Radiant Productions  18990"
388,"                          name     id
0    Village Roadshow Pictures     79
1                Section Eight    129
2            NPV Entertainment    172
3  Jerry Weintraub Productions   2596
4                 Warner Bros.   6194
5                  WV Films II  24939"
389,"                                name    id
0                    Impact Pictures   248
1                  Studio Babelsberg   264
2  Nouvelles Éditions de Films (NEF)   753
3                         New Legacy   939
4         Constantin Film Produktion  5755"
390,"                      name    id
0        Columbia Pictures     5
1  Sony Pictures Animation  2251"
391,"                      name    id
0     Walt Disney Pictures     2
1  Josephson Entertainment  1894
2    Andalasia Productions  8908
3  Right Coast Productions  8909"
392,"                 name     id
0  Universal Pictures     33
1              Dentsu   6452
2    Relativity Media   7295
3     Bluegrass Films  13778"
393,"                   name     id
0  Walt Disney Pictures      2
1   Cruella Productions  10472"
394,"                  name     id
0   Universal Pictures     33
1  Image Entertainment   3086
2     Relativity Media   7295
3    Rat Entertainment  12007"
395,"                 name    id
0   Columbia Pictures     5
1  Universal Pictures    33
2       Waverly Films   735
3    Relativity Media  7295"
396,"                      name     id
0  Jerry Bruckheimer Films    130
1   Scott Free Productions   1645
2      Touchstone Pictures   9195
3      No Such Productions  79209"
397,"                      name    id
0       Universal Pictures    33
1  Scott Rudin Productions   258
2            Waverly Films   735
3                   Dentsu  6452
4         Relativity Media  7295"
398,"                          name    id
0    Village Roadshow Pictures    79
1                Section Eight   129
2  Jerry Weintraub Productions  2596
3                 Warner Bros.  6194"
399,"                      name    id
0  Sony Pictures Animation  2251"
400,"                      name     id
0     Summit Entertainment    491
1  Red Wagon Entertainment  14440"
401,"                 name     id
0  Paramount Pictures      4
1      Swanford Films    549
2   Mandalay Pictures    551
3         Little Bird  11358
4           KC Medien  22182
5            Reperage  24136
6                 DOS  24137
7  MP Film Management  24138"
402,"                   name     id
0     Columbia Pictures      5
1    Universal Pictures     33
2  Strike Entertainment    655
3           WWE Studios  10339
4          Misher Films  11581
5     IM3 Entertainment  90249"
403,"                            name     id
0  Columbia Pictures Corporation    441
1                Oak Productions  55528"
404,"                            name   id
0                 DreamWorks SKG   27
1         Spyglass Entertainment  158
2  Columbia Pictures Corporation  441
3          Red Wagon Productions  780"
405,"                 name  id
0  Universal Pictures  33"
406,"                      name    id
0        Columbia Pictures     5
1       Aardman Animations   297
2  Sony Pictures Animation  2251"
407,"                 name   id
0  Universal Pictures   33
1    City Light Films  136"
408,"                       name     id
0  David Foster Productions    496
1     Bel Air Entertainment    788
2              Warner Bros.   6194
3      Hacienda Productions  43717"
409,"                                     name   id
0  Twentieth Century Fox Film Corporation  306
1           Columbia Pictures Corporation  441"
410,"                name     id
0   Relativity Media   7295
1       Misher Films  11581
2      Yucaipa Films  12005
3  Goldmann Pictures  12006
4  Rat Entertainment  12007
5        Misha Films  12008"
411,"                     name    id
0      Universal Pictures    33
1  Marc Platt Productions  2527"
412,"                                                name     id
0                                 Paramount Pictures      4
1                           David Foster Productions    496
2                                   Horsepower Films   2199
3                                         LivePlanet   7161
4                                   Core Productions  12213
5  Munich Film Partners New Century & Company (MF...  12214"
413,"                    name  id
0  Imagine Entertainment  23
1     Universal Pictures  33"
414,"                  name    id
0  Atlas Entertainment   507
1   Mosaic Media Group   748
2         Warner Bros.  6194"
415,"                         name     id
0                   DNA Films    284
1  Reliance BIG Entertainment   6733
2                   IM Global   7437
3                   Rena Film  46506
4                 Peach Trees  46507"
416,"                            name    id
0                  Original Film   333
1  Columbia Pictures Corporation   441
2             Revolution Studios   497
3      Happy Madison Productions  2608"
417,"                        name     id
0               Warner Bros.   6194
1       Creepshow Films Inc.  14179
2  Laurel Entertainment Inc.  14180"
418,"                        name  id
0  Village Roadshow Pictures  79"
419,"                   name     id
0    Dune Entertainment    444
1              Hypnotic   7384
2  New Regency Pictures  10104"
420,"                                  name     id
0                   Universal Pictures     33
1             Dark Horse Entertainment    552
2          Lawrence Gordon Productions    840
3                   Mid Atlantic Films   2735
4                     Relativity Media   7295
5  Internationale Filmproduktion Eagle  21498"
421,"                 name     id
0  Paramount Pictures      4
1        Warner Bros.   6194
2    Phoenix Pictures  11317"
422,"               name     id
0  Phoenix Pictures  11317"
423,"                        name   id
0         Universal Pictures   33
1     Spyglass Entertainment  158
2  Shady Acres Entertainment  159
3       Pit Bull Productions  160"
424,"               name     id
0  Millennium Films  10254"
425,"                        name  id
0         Paramount Pictures   4
1  Cruise/Wagner Productions  44"
426,"          name    id
0    Lionsgate  1632
1  Color Force  5420"
427,"                 name    id
0  Legendary Pictures   923
1        Living Films  2877
2     Green Hat Films  3527
3        Warner Bros.  6194"
428,"                            name    id
0  PolyGram Filmed Entertainment  1382
1                   Warner Bros.  6194"
429,"                        name   id
0  Pacific Data Images (PDI)  520
1       DreamWorks Animation  521"
430,"                            name     id
0           Walt Disney Pictures      2
1  Walt Disney Feature Animation  10217"
431,"                           name    id
0            Paramount Pictures     4
1  Kerner Entertainment Company  7311"
432,"                       name    id
0        Paramount Pictures     4
1            DreamWorks SKG    27
2  Zanuck/Brown Productions  1865
3         Manhattan Project  2478"
433,"                      name    id
0                DC Comics   429
1  Di Bonaventura Pictures   435
2     Summit Entertainment   491
3         DC Entertainment  9993"
434,"                            name     id
0             Paramount Pictures      4
1  Columbia Pictures Corporation    441
2                      MTV Films    746
3      Happy Madison Productions   2608
4             Callahan Filmworks  60378"
435,"                name   id
0  Fox 2000 Pictures  711"
436,"                                name    id
0                  Columbia Pictures     5
1          Happy Madison Productions  2608
2  Sony Pictures Entertainment (SPE)  7431"
437,"                        name     id
0  Village Roadshow Pictures     79
1        Atlas Entertainment    507
2         Mosaic Media Group    748
3                 Mad Chance   1757
4               Warner Bros.   6194
5                WV Films IV  27352
6       Mel's Cite du Cinema  54502
7         Callahan Filmworks  60378"
438,"                            name    id
0  Columbia Pictures Corporation   441
1                  Waverly Films   735
2                   Warner Bros.  6194"
439,"                  name     id
0   Paramount Pictures      4
1           Appian Way    562
2     Phoenix Pictures  11317
3  Sikelia Productions  23243"
440,"                                 name    id
0                     New Line Cinema    12
1              Spyglass Entertainment   158
2                        Type A Films  2308
3                          Ott Medien  2795
4  Wild West Picture Show Productions  2796"
441,"                              name     id
0                 Blue Sky Studios   9383
1  Twentieth Century Fox Animation  11749"
442,"                            name     id
0             Paramount Pictures      4
1           Permut Presentations    455
2  WCG Entertainment Productions    456
3    Douglas/Reuther Productions    458
4            Touchstone Pictures   9195
5            Krane Entertainment  25358"
443,"                        name    id
0       Walt Disney Pictures     2
1  Happy Madison Productions  2608
2                 Gunn Films  3538"
444,"                                     name   id
0                          DreamWorks SKG   27
1                      The Zanuck Company   80
2  Twentieth Century Fox Film Corporation  306"
445,"                        name    id
0          Columbia Pictures     5
1  Happy Madison Productions  2608"
446,"                         name     id
0     Jerry Bruckheimer Films    130
1    Kouf/Bigelow Productions   3589
2         Touchstone Pictures   9195
3  Hiett Designs of Las Vegas  78338
4         Runway Pictures Inc  78339"
447,"                 name     id
0      DreamWorks SKG     27
1  K/O Paper Products   7296
2  Goldcrest Pictures  11843
3     KMP Film Invest  20157"
448,"                    name     id
0          Miramax Films     14
1     Mirage Enterprises    932
2    Castel Film Romania   1370
3  Bona Fide Productions   2570
4               Cattleya  10102"
449,"                  name    id
0  Alcon Entertainment  1088
1      Silver Pictures  1885"
450,"                       name    id
0      Walt Disney Pictures     2
1  Great Oaks Entertainment  2173"
451,"                      name    id
0               DreamWorks     7
1  Roth-Arnold Productions  1560"
452,"                                name     id
0  Warner Bros. Family Entertainment   3592
1      Northern Lights Entertainment   8816
2        Courtside Seats Productions  55527"
453,"                               name    id
0                 Columbia Pictures     5
1  International Production Company  1507
2     The Montecito Picture Company  2364
3        Robert Simonds Productions  3929
4         Metro-Goldwyn-Mayer (MGM)  8411"
454,"                                     name     id
0  Twentieth Century Fox Film Corporation    306
1                  Dune Entertainment III   6332
2                Earth Canada Productions  20374
3                  Hammerhead Productions  20375
4                    3 Arts Entertainment  36390"
455,"                               name     id
0                   Silver Pictures   1885
1                      Warner Bros.   6194
2  Donner/Shuler-Donner Productions  23397"
456,"                    name     id
0      Columbia Pictures      5
1      QED International  11029
2            Crave Films  16312
3          LStar Capital  34034
4   Huayi Brothers Media  39649
5  Le Grisbi Productions  47169"
457,"                            name    id
0               Caravan Pictures   175
1     Roger Birnbaum Productions   961
2  Northern Lights Entertainment  8816
3            Touchstone Pictures  9195"
458,"                     name     id
0        De Line Pictures   2609
1  Warner Bros. Animation   2785
2  Sunswept Entertainment   5219
3         Rhythm and Hues  13481
4           Picnic Basket  19045"
459,"                   name   id
0        DreamWorks SKG   27
1  DreamWorks Animation  521"
460,"                        name     id
0          Columbia Pictures      5
1  Happy Madison Productions   2608
2    Sony Pictures Releasing   3045
3    Broken Road Productions   8000
4  Metro-Goldwyn-Mayer (MGM)   8411
5      Zookeeper Productions  46221
6                  Hey Eddie  46222"
461,"                      name     id
0          New Line Cinema     12
1  Irwin Allen Productions  14024
2         Prelude Pictures  19902
3    Saltire Entertainment  30253"
462,"                      name    id
0       Paramount Pictures     4
1  Scott Rudin Productions   258
2         Clinica Estetico  1274"
463,"                        name     id
0  Rainbow Film Company, The  27584
1       Revere Entertainment  40955
2             Jagtoria Films  40956"
464,"                      name    id
0        Columbia Pictures     5
1  Sony Pictures Animation  2251"
465,"                   name  id
0  Walt Disney Pictures   2"
466,"             name    id
0  DreamWorks SKG    27
1    Warner Bros.  6194"
467,"                   name    id
0  Walt Disney Pictures     2
1          RKO Pictures  4361"
468,"                        name     id
0  Village Roadshow Pictures     79
1          NPV Entertainment    172
2            Silver Pictures   1885
3               Warner Bros.   6194
4       Jonathan Krane Group  46458"
469,"                            name   id
0           Amblin Entertainment   56
1  Columbia Pictures Corporation  441"
470,"                            name    id
0  PolyGram Filmed Entertainment  1382"
471,"                        name    id
0            New Line Cinema    12
1                  Avery Pix  1565
2  Happy Madison Productions  2608"
472,"                        name     id
0      The Weinstein Company    308
1       Summit Entertainment    491
2        Atlas Entertainment    507
3         Mosaic Media Group    748
4              Reforma Films   1649
5            Dimension Films   7405
6  Metro-Goldwyn-Mayer (MGM)   8411
7     Revolution Sun Studios  76043"
473,"                     name    id
0  Tim Burton Productions  8601"
474,"                                                 name     id
0                                           Ex Nihilo   3307
1                                              Canal+   5358
2                                  Les films du Worso   7395
3                                  Noodles Production   7792
4                                               Ciné+  10611
5                                      Scope Pictures  11199
6   Le Tax Shelter du Gouvernement Fédéral de Belg...  11921
7         Centre National de la Cinématographie (CNC)  18367
8      Ministère de la Culture et de la Communication  25818
9                                       Volcano Films  52184
10                                Left Field Ventures  58659
11                                   Evo Films A.I.E.  76444
12                                        Indéfilms 3  76445
13                                 Palatine Étoile 12  76446
14                                      Cinéfeel Prod  76447"
475,"                     name    id
0  Art Linson Productions  8769"
476,"                      name     id
0      Touchstone Pictures   9195
1         Mandeville Films  10227
2  Wintergreen Productions  11845
3    Top Shelf Productions  41978"
477,"              name   id
0  New Line Cinema   12
1  Tig Productions  335"
478,"                  name    id
0   Universal Pictures    33
1  Davis Entertainment  1302"
479,"                         name     id
0               BBC Worldwide   3164
1  Reliance BIG Entertainment   6733
2                Animal Logic   8089
3                   BBC Earth   8090
4             Evergreen Films   8091
5          BBC Earth MD (WWD)  53498
6                Evergreen MD  53499"
480,"                       name     id
0        Franchise Pictures   1403
1              Warner Bros.   6194
2                 JTP Films   7406
3  Morgan Creek Productions  10210
4   Battlefield Productions  19718"
481,"                                     name     id
0  Lonely Film Productions GmbH & Co. KG.    430
1                  Warner Bros. Animation   2785
2                            Warner Bros.   6194
3                       Goldmann Pictures  12006
4      Baltimore Spring Creek Productions  16061
5          Warner Bros. Feature Animation  20734"
482,"                    name    id
0  The Weinstein Company   308
1       Relativity Media  7295"
483,"                             name     id
0              Paramount Pictures      4
1                Donners' Company    431
2             Mutual Film Company    762
3              Cobalt Media Group  18619
4  Artists Production Group (APG)  18620"
484,"              name    id
0  Tig Productions   335
1     Warner Bros.  6194"
485,"                         name    id
0  Kennedy Miller Productions  2537"
486,"                          name     id
0         Summit Entertainment    491
1  Atmosphere Entertainment MM   2995
2               One Race Films   7154
3            Goldmann Pictures  12006
4                      NeoReel  24097
5       Aperture Entertainment  33832
6                    TIK Films  72441"
487,"                        name     id
0  Village Roadshow Pictures     79
1          NPV Entertainment    172
2               Warner Bros.   6194
3         The Canton Company  22351
4  Mars Production Pty. Ltd.  53997"
488,"                    name    id
0             Canal Plus   104
1      Sofica Europacorp   854
2  Avalanche Productions  2525
3             EuropaCorp  6896"
489,"                                               name     id
0                                       Pathé Films   4959
1                                            Canal+   5358
2                                          TPS Star   6586
3                                 Participant Media   6735
4                                 France Télévision   7454
5                                   France 2 Cinéma  15671
6                                   France 3 Cinema  16804
7       Centre National de la Cinématographie (CNC)  18367
8                      Conseil Régional du Calvados  19267
9                                   Région Bretagne  20346
10  Ministère du Développement Durable et de la Mer  33250
11                                          JMH-TSR  33251
12          HH Sheikha Salama bint Hamdan Al Nahyan  33252
13                Conseil Général des Côtes d'Armor  33253
14                      Conseil Général du Morbihan  33254
15                           Région Basse-Normandie  33255"
490,"                                    name     id
0                Epsilon Motion Pictures   1171
1                     Franchise Pictures   1403
2            Baldwin Entertainment Group   2234
3                    Dante Entertainment   2755
4                 Crusader Entertainment   2978
5                             ETIC Films   2979
6                                  Forge   2980
7   QI Quality International GmbH Co. KG   2981
8                     Signature Pictures   2982
9               ApolloMedia Distribution  16850
10                                  Coco  87847
11                              Film 111  87848
12              Jericho Productions Ltd.  87849
13                MFF (Sound of Thunder)  87850
14                   Matrix Film Finance  87851
15             Scenario Lane Productions  87852"
491,"                            name     id
0                Impact Pictures    248
1               TriStar Pictures    559
2        Don Carmody Productions   4253
3                   FilmDistrict   7263
4  Constantin Film International  12162"
492,"                       name     id
0            Anima Estudios   9965
1  Discreet Art Productions  79433"
493,"                    name  id
0  Imagine Entertainment  23
1         DreamWorks SKG  27
2     Universal Pictures  33"
494,"                            name     id
0           Walt Disney Pictures      2
1  Walt Disney Feature Animation  10217"
495,"              name     id
0  New Line Cinema     12
1       Contrafilm   1836
2     Walden Media  10221"
496,"                name   id
0  Columbia Pictures    5
1               Sony  649"
497,"                        name    id
0         Universal Pictures    33
1  Metro-Goldwyn-Mayer (MGM)  8411"
498,"                       name     id
0  Casey Silver Productions    877
1       Touchstone Pictures   9195
2                Dune Films  19477"
499,"                        name    id
0          Columbia Pictures     5
1  Happy Madison Productions  2608
2    Broken Road Productions  8000"
500,"                               name     id
0  Mikona Productions GmbH & Co. KG     24
1                Universal Pictures     33
2                     Original Film    333
3            Ardustry Entertainment  26281"
501,"               name     id
0        Onyx Films   2203
1           NetFlix   8858
2    Orange Studios  15433
3        CityMation  41042
4  On Entertainment  59725
5    Zippcast Films  60658"
502,"                        name    id
0  Village Roadshow Pictures    79
1      Vertigo Entertainment   829
2            Silver Pictures  1885
3               Warner Bros.  6194"
503,"                    name     id
0     Universal Pictures     33
1  Capella International    594
2           KC Medien AG    596
3    Tribeca Productions  11391"
504,"                         name    id
0          Universal Pictures    33
1     Fuji Television Network  3341
2                      Dentsu  6452
3  Illumination Entertainment  6704"
505,"                                                name     id
0             Twentieth Century Fox Film Corporation    306
1                                     JD Productions    475
2                   International Production Company   1507
3                                        Angry Films  12087
4  Mediastream Dritte Film GmbH & Co. Beteiligung...  19352"
506,"                         name    id
0          Universal Pictures    33
1  Illumination Entertainment  6704"
507,"                                     name   id
0  Twentieth Century Fox Film Corporation  306
1               Centropolis Entertainment  347"
508,"                   name  id
0    Universal Pictures  33
1  Amblin Entertainment  56"
509,"                        name   id
0             DreamWorks SKG   27
1  Pacific Data Images (PDI)  520
2       DreamWorks Animation  521"
510,"                    name     id
0     Universal Pictures     33
1   Strike Entertainment    655
2  Hit & Run Productions  11429"
511,"                                     name     id
0  Twentieth Century Fox Film Corporation    306
1                        Donners' Company    431
2               Bad Hat Harry Productions   9168
3                      Marvel Enterprises  19551
4                  Springwood Productions  22969
5                    Genetics Productions  22970"
512,"                              name     id
0               Universal Pictures     33
1           Spyglass Entertainment    158
2              Bazelevs Production   1038
3            Kickstart Productions   2526
4           Marc Platt Productions   2527
5              Top Cow Productions   2528
6                 Relativity Media   7295
7  Ringerike Zweite Filmproduktion  23955
8           Revolution Sun Studios  76043"
513,"                                  name     id
0                   Hollywood Pictures    915
1  Don Simpson/Jerry Bruckheimer Films  10288"
514,"                              name     id
0                 Blue Sky Studios   9383
1  Twentieth Century Fox Animation  11749"
515,"                            name     id
0  Columbia Pictures Corporation    441
1      Happy Madison Productions   2608
2              Anonymous Content  10039
3              Flower Films (II)  19813"
516,"                        name     id
0            New Line Cinema     12
1    Ingenious Film Partners    289
2    Offspring Entertainment   2378
3  Zadan / Meron Productions  70994"
517,"                       name     id
0  Morgan Creek Productions  10210
1      Dominion Productions  36452"
518,"                   name     id
0  Walt Disney Pictures      2
1      Caravan Pictures    175
2     DiC Entertainment  20477"
519,"                   name     id
0  Summit Entertainment    491
1    K/O Paper Products   7296
2       SOIXAN7E QUIN5E  23271
3      See Me Louisiana  23272"
520,"                        name    id
0          Columbia Pictures     5
1  Happy Madison Productions  2608
2           Relativity Media  7295"
521,"                           name     id
0                DreamWorks SKG     27
1          Amblin Entertainment     56
2  Parkes/MacDonald Productions  11084"
522,"                 name    id
0      DreamWorks SKG    27
1  Nickelodeon Movies  2348"
523,"                                                name    id
0                      Columbia Pictures Corporation   441
1  Global Entertainment Productions GmbH & Compan...  9269"
524,"                      name    id
0       Universal Pictures    33
1  Participant Productions  2030
2      Playtone Production  2031"
525,"                        name   id
0             DreamWorks SKG   27
1  Pacific Data Images (PDI)  520
2       DreamWorks Animation  521"
526,"                        name   id
0         Paramount Pictures    4
1             DreamWorks SKG   27
2  Laurence Mark Productions  415"
527,"                        name    id
0       Double Feature Films   215
1               Jersey Films   216
2     Nina Saxon Film Design  1693
3  Metro-Goldwyn-Mayer (MGM)  8411"
528,"                               name     id
0                    DreamWorks SKG     27
1                Universal Pictures     33
2              Amblin Entertainment     56
3                   Peninsula Films    682
4  Alliance Atlantis Communications    803
5     Kennedy/Marshall Company, The   7383
6          Barry Mendel Productions  17032"
529,"                         name     id
0           Columbia Pictures      5
1          Revolution Studios    497
2        Cheyenne Enterprises    890
3  Michael Lobell Productions  13473"
530,"             name     id
0  Katalyst Films    817
1       Lionsgate   1632
2  Aversano Films  60022"
531,"                        name     id
0        Davis Entertainment   1302
1               Warner Bros.   6194
2         Wigram Productions  23202
3  RatPac-Dune Entertainment  41624"
532,"                            name   id
0                   Gracie Films   18
1  Columbia Pictures Corporation  441"
533,"                          name     id
0            Columbia Pictures      5
1         Amblin Entertainment     56
2      Sony Pictures Animation   2251
3  Sony Pictures Entertainment   5752
4                  ImageMovers  11395"
534,"                                 name     id
0                Cheyenne Enterprises    890
1             Epsilon Motion Pictures   1171
2                     Empire Pictures   1212
3           Metro-Goldwyn-Mayer (MGM)   8411
4             Hyde Park Entertainment  13816
5  Baltimore Spring Creek Productions  16061
6                      Lotus Pictures  52944"
535,"                            name     id
0  Columbia Pictures Corporation    441
1       First Knight Productions  10158"
536,"                name   id
0  Fox 2000 Pictures  711"
537,"                      name     id
0          Virgin Produced   8852
1  Mark Canton Productions  11761"
538,"                                           name     id
0                                 Miramax Films     14
1                          Cheyenne Enterprises    890
2                               Yari Film Group   2448
3                              Stratus Film Co.  11027
4                 Syndicate Films International  26947
5  Equity Pictures Medienfonds GmbH & Co. KG II  26948
6                                  Hostage GmbH  26949"
539,"                                     name     id
0  Twentieth Century Fox Film Corporation    306
1             David Kirschner Productions  11050
2                   Fox Animation Studios  11231"
540,"                 name   id
0   Columbia Pictures    5
1  Revolution Studios  497"
541,"                          name     id
0              Impact Pictures    248
1  Jerry Weintraub Productions   2596
2                 Warner Bros.   6194
3     Morgan Creek Productions  10210"
542,"                       name     id
0         Paramount Vantage    838
1              Likely Story   1785
2       Ivy Boy Productions   4482
3  This Is That Productions  10059"
543,"                                     name     id
0  Twentieth Century Fox Film Corporation    306
1                           1492 Pictures    436
2                  Twitching Image Studio  89626"
544,"                                     name     id
0  Twentieth Century Fox Film Corporation    306
1                     Davis Entertainment   1302
2                           Aldrich Group  49478
3                       Optional Pictures  54004"
545,"                               name     id
0  Limited Edition Productions Inc.   3683
1               Touchstone Pictures   9195
2            Blinding Edge Pictures  12236
3          Barry Mendel Productions  17032"
546,"                         name    id
0          Universal Pictures    33
1  Illumination Entertainment  6704"
547,"                      name     id
0       Legendary Pictures    923
1             Warner Bros.   6194
2       Lennox House Films  22119
3  Cruel and Unusual Films  78685"
548,"                   name     id
0    Paramount Pictures      4
1                DeBart   2519
2   Touchstone Pictures   9195
3  Mel's Cite du Cinema  54502"
549,"                     name     id
0       Punch Productions   2154
1            Warner Bros.   6194
2      Baltimore Pictures  11407
3  Constant c Productions  23370"
550,"                             name     id
0               Columbia Pictures      5
1             Rovio Entertainment  18642
2  Sony Pictures Imageworks (SPI)  30692
3                    Rovio Mobile  50848
4                 Rovio Animation  91920"
551,"               name    id
0  De Line Pictures  2609
1      Warner Bros.  6194"
